,PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR,bat inns,bat ave,dot%,bat sr,bowl inns,econ,wickets
770,Digvijay Deshmukh,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
771,Aakarshit Gomel,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
772,Arjit Gupta,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
773,Shubhang Hegde,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
774,Azim Kazi,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
775,Rahul Singh,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
776,Rahul Ajay Tripathy,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
777,Harsh Tyagi,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
778,Nachiket Bhute,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
779,Josh Clarkson,Overseas,All-Rounder,2.0,0,NONE,2021,7.0,38.2,25.3,152.7,1.0,6.0,1.0
780,Gerald Coetzee,Overseas,All-Rounder,2.0,0,NONE,2021,,,,,,,
781,Tim David,Overseas,All-Rounder,2.0,0,NONE,2021,12.0,28.2,27.6,155.8,2.0,3.0,0.0
782,Deeparaj Gaonkar,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
783,Aaron Hardie,Overseas,All-Rounder,2.0,0,NONE,2021,3.0,11.7,43.5,76.1,4.0,7.0,3.0
784,Nathan McAndrew,Overseas,All-Rounder,2.0,0,NONE,2021,4.0,37.0,23.5,217.6,9.0,8.55,7.0
785,M Mohammed,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
786,Rahul Gahlaut,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
787,Govinda Poddar,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
788,Pratyush Singh,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
789,Himanshu Rana,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
790,Himmat Singh,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
791,Vishnu Solanki,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
792,Sadiq Hassan Kirmani,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
793,Ayush Badoni,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
794,Cheepurupalli Stephen,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
795,Nidheesh M D Dinesan,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
796,Atit Sheth,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
797,Vivek Singh,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
798,Avi Barot,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
799,Armaan Jaffer,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
800,Kedar Devdhar,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
801,Tejas Singh Baroka,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
802,Apoorv Vijay Wankhade,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
803,Tushar Deshpande,Indian,Bowler,2.0,0,NONE,2021,2.0,21.0,25.0,175.0,5.0,11.29,3.0
804,Prathamesh Ganesh Dake,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
805,Jay Gokul Bista,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
806,T Ravi Teja,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
807,Kuldeep Sen,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
808,Anirudha Ashok Joshi,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
809,Mujtaba Yousuf,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
810,Pradeep Sahu,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
811,Prayas Ray Barman,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
812,Siddhesh Dinesh Lad,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
813,Karanveer Singh,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
814,Midhun Sudhesan,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
815,Nikhil Shankar Naik,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
816,Prithvi Raj Yarra,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
817,Noor Ahmad,Overseas,Bowler,2.0,0,NONE,2021,,,,,,,
818,Xavier Bartlett,Overseas,Bowler,2.0,0,NONE,2021,2.0,1.0,50.0,50.0,4.0,7.5,6.0
819,Rohit Damodaran,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
820,Jiyas K,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
821,Mayank Dagar,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
822,Ashok Menaria,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
823,Finn Allen,Overseas,Batsman,2.0,0,NONE,2021,2.0,32.0,22.6,206.5,,,
824,Harpreet Bhatia,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
825,Shivam Chauhan,Overseas,Batsman,2.0,0,NONE,2021,,,,,,,
826,Naushad Shaikh,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
827,Pratham Singh,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
828,Atharva Ankolekar,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
829,Rojith Ganesh,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
830,Sumit Kumar,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
831,Akshdeep Nath,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
832,Pradeep Sangwan,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
833,Karan Sharma,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
834,R. Sonu Yadav,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
835,Dhruv Jurel,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
836,Arun Karthick,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
837,Smit Patel,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
838,K.L Shrijith,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
839,Wesley Agar,Overseas,Bowler,2.0,0,NONE,2021,,,,,,,
840,Akash Deep,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
841,Kulwant Khejroliya,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
842,Arzan Nagwaswalla,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
843,G Periyasamy,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
844,Karthik Meiyappan,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
845,Prince Balwant Rai Singh,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
846,Sagar Udeshi,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
847,Kushaal Wadhwani,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
848,Akshay Wakhare,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
849,Rajesh Bishnoi,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
850,Abhimanyu Easwaran,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
851,Rohan Kadam,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
852,Amandeep Khare,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
853,Mohammed Taha,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
854,Tajinder Dhillon,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
855,Pankaj Jaswal,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
856,Khrievitso Kense,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
857,Prerak Mankad,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
858,Shams Mulani,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
859,Ansh Patel,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
860,Parth Sahani,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
861,Ankit Sharma,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
862,Dhruv Shorey,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
863,Josh Inglis,Overseas,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
864,Aryan Juyal,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
865,Rohit Sharma,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
866,Sandeep Kumar Tomar,Indian,Wicket Keeper,2.0,0,NONE,2021,,,,,,,
867,Aniket Choudhary,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
868,Mukesh Choudhary,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
869,Nathan Ellis,Overseas,Bowler,2.0,0,NONE,2021,9.0,9.0,31.7,131.7,17.0,8.46,16.0
870,Sayan Ghosh,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
871,Ronit More,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
872,Simarjeet Singh,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
873,Zeeshan Ansari,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
874,Nayan Doshi,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
875,Jon Russ Jaggesar,Overseas,Bowler,2.0,0,NONE,2021,,,,,,,
876,Kevin Koththigoda,Overseas,Bowler,2.0,0,NONE,2021,,,,,,,
877,Tanveer Sangha,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
878,Maheesh Theekshan,Overseas,Bowler,2.0,0,NONE,2021,,,,,,,
879,Vijayakanth Viyaskanth,Overseas,Bowler,2.0,0,NONE,2021,2.0,11.0,27.3,100.0,3.0,7.43,1.0
880,Max Bryant,Overseas,Batsman,2.0,0,NONE,2021,12.0,20.9,37.1,143.4,,,
881,Saahil Jain,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
882,Subhranshu Senapati,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
883,Ravi Thakur,Indian,Batsman,2.0,0,NONE,2021,,,,,,,
884,Jake Weatherald,Overseas,Batsman,2.0,0,NONE,2021,16.0,23.1,45.6,119.1,,,
885,Shubham Agrawal,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
886,Rajjakuddin Ahmed,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
887,Baba Aparajith,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
888,George Garton,Overseas,All-Rounder,2.0,0,NONE,2021,8.0,24.2,41.9,112.8,10.0,7.7,14.0
889,Kartik Kakade,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
890,Shoaib Khan,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
891,Dhruv Patel,Indian,All-Rounder,2.0,0,NONE,2021,,,,,,,
892,Varun Choudhary,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
893,Baltej Dhanda,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
894,Saurabh Dubey,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
895,Matt Kelly,Overseas,Bowler,2.0,0,NONE,2021,,,,,,,
896,Chama Milind,Indian,Bowler,2.0,0,NONE,2021,,,,,,,
897,Piyush Chawla,Indian,Bowler,67.5,1,Chennai Super Kings,2020,5.0,14.0,51.4,113.5,13.0,8.97,10.0
898,Sam Curran,Overseas,All-Rounder,55.0,1,Chennai Super Kings,2020,16.0,28.5,38.5,151.0,17.0,9.72,15.0
899,Josh Hazlewood,Overseas,Bowler,20.0,1,Chennai Super Kings,2020,,,,,,,
900,R. Sai Kishore,Indian,Bowler,2.0,1,Chennai Super Kings,2020,,,,,,,
901,Shimron Hetmyer,Overseas,Batsman,77.5,1,Delhi Capitals,2020,17.0,19.6,41.7,123.6,,,
902,Marcus Stoinis,Overseas,All-Rounder,48.0,1,Delhi Capitals,2020,24.0,57.7,33.1,130.9,15.0,8.28,16.0
903,Alex Carey,Overseas,Wicket Keeper,24.0,1,Delhi Capitals,2020,21.0,32.6,33.4,134.6,,,
904,Jason Roy,Overseas,Batsman,15.0,1,Delhi Capitals,2020,10.0,18.5,42.6,136.0,,,
905,Chris Woakes,Overseas,All-Rounder,15.0,1,Delhi Capitals,2020,,,,,,,
906,Mohit Sharma,Indian,Bowler,5.0,1,Delhi Capitals,2020,1.0,,100.0,0.0,1.0,9.0,1.0
907,Tushar Deshpande,Indian,Bowler,2.0,1,Delhi Capitals,2020,,,,,,,
908,Lalit Yadav,Indian,All-Rounder,2.0,1,Delhi Capitals,2020,,,,,,,
909,Glenn Maxwell,Overseas,All-Rounder,107.5,1,Kings XI Punjab,2020,21.0,39.4,25.4,155.5,19.0,7.23,10.0
910,Sheldon Cottrell,Overseas,Bowler,85.0,1,Kings XI Punjab,2020,2.0,0.0,100.0,0.0,8.0,7.83,12.0
911,Chris Jordan,Overseas,All-Rounder,30.0,1,Kings XI Punjab,2020,15.0,6.2,48.3,93.1,29.0,8.87,34.0
912,Ravi Bishnoi,Indian,Bowler,20.0,1,Kings XI Punjab,2020,,,,,,,
913,Prabhsimran Singh,Indian,Wicket Keeper,5.5,1,Kings XI Punjab,2020,1.0,16.0,58.8,94.1,,,
914,Deepak Hooda,Indian,All-Rounder,5.0,1,Kings XI Punjab,2020,7.0,10.7,39.7,101.6,2.0,10.5,1.0
915,James Neesham,Overseas,All-Rounder,5.0,1,Kings XI Punjab,2020,18.0,30.1,30.0,146.2,21.0,10.09,23.0
916,Tajinder Dhillon,Indian,All-Rounder,2.0,1,Kings XI Punjab,2020,,,,,,,
917,Ishan Porel,Indian,Bowler,2.0,1,Kings XI Punjab,2020,,,,,,,
918,Pat Cummins,Overseas,All-Rounder,155.0,1,Kolkata Knight Riders,2020,1.0,,50.0,125.0,1.0,7.0,2.0
919,Eoin Morgan,Overseas,Batsman,52.5,1,Kolkata Knight Riders,2020,9.0,42.6,22.3,168.8,,,
920,Varun Chakaravarthy,Indian,All-Rounder,40.0,1,Kolkata Knight Riders,2020,,,,,,,
921,Tom Banton,Overseas,Batsman,10.0,1,Kolkata Knight Riders,2020,15.0,41.9,37.1,164.2,,,
922,Rahul Tripathi,Indian,Batsman,6.0,1,Kolkata Knight Riders,2020,7.0,23.5,32.2,119.5,,,
923,Chris Green,Overseas,All-Rounder,2.0,1,Kolkata Knight Riders,2020,27.0,20.1,27.9,124.4,42.0,6.94,40.0
924,Nikhil Shankar Naik,Indian,Wicket Keeper,2.0,1,Kolkata Knight Riders,2020,,,,,,,
925,Pravin Tambe,Indian,Bowler,2.0,1,Kolkata Knight Riders,2020,,,,,,,
926,M Siddharth,Indian,Bowler,2.0,1,Kolkata Knight Riders,2020,,,,,,,
927,Nathan Coulter-Nile,Overseas,Bowler,80.0,1,Mumbai Indians,2020,5.0,43.0,26.3,226.3,11.0,7.48,12.0
928,Chris Lynn,Overseas,Batsman,20.0,1,Mumbai Indians,2020,34.0,36.5,41.1,151.3,,,
929,Saurabh Tiwary,Indian,Batsman,5.0,1,Mumbai Indians,2020,,,,,,,
930,Digvijay Deshmukh,Indian,All-Rounder,2.0,1,Mumbai Indians,2020,,,,,,,
931,Prince Balwant Rai Singh,Indian,All-Rounder,2.0,1,Mumbai Indians,2020,,,,,,,
932,Mohsin Khan,Indian,Bowler,2.0,1,Mumbai Indians,2020,,,,,,,
933,Robin Uthappa,Indian,Batsman,30.0,1,Rajasthan Royals,2020,11.0,31.3,43.3,115.1,,,
934,Jaydev Unadkat,Indian,Bowler,30.0,1,Rajasthan Royals,2020,2.0,1.0,66.7,33.3,11.0,10.66,10.0
935,Yashasvi Jaiswal,Indian,All-Rounder,24.0,1,Rajasthan Royals,2020,,,,,,,
936,Kartik Tyagi,Indian,Bowler,13.0,1,Rajasthan Royals,2020,,,,,,,
937,Tom Curran,Overseas,All-Rounder,10.0,1,Rajasthan Royals,2020,21.0,19.1,27.2,148.1,31.0,8.7,44.0
938,Andrew Tye,Overseas,Bowler,10.0,1,Rajasthan Royals,2020,10.0,11.4,33.9,142.9,29.0,8.4,32.0
939,Anuj Rawat,Indian,Wicket Keeper,8.0,1,Rajasthan Royals,2020,,,,,,,
940,David Miller,Overseas,Batsman,7.5,1,Rajasthan Royals,2020,19.0,31.6,31.1,126.3,,,
941,Oshane Thomas,Overseas,Bowler,5.0,1,Rajasthan Royals,2020,2.0,,66.7,33.3,10.0,10.53,14.0
942,Anirudha Ashok Joshi,Indian,All-Rounder,2.0,1,Rajasthan Royals,2020,,,,,,,
943,Akash Singh,Indian,Bowler,2.0,1,Rajasthan Royals,2020,,,,,,,
944,Christopher Morris,Overseas,All-Rounder,100.0,1,Royal Challengers Bangalore,2020,,,,,,,
945,Aaron Finch,Overseas,Batsman,44.0,1,Royal Challengers Bangalore,2020,25.0,33.7,32.3,144.1,2.0,9.5,0.0
946,Kane Richardson,Overseas,Bowler,40.0,1,Royal Challengers Bangalore,2020,9.0,21.0,27.5,105.0,15.0,7.5,24.0
947,Dale Steyn,Overseas,Bowler,20.0,1,Royal Challengers Bangalore,2020,2.0,,40.0,86.7,12.0,7.49,22.0
948,Isuru Udana,Overseas,All-Rounder,5.0,1,Royal Challengers Bangalore,2020,12.0,18.0,43.9,109.1,15.0,7.49,17.0
949,Shahbaz Ahamad,Indian,Wicket Keeper,2.0,1,Royal Challengers Bangalore,2020,,,,,,,
950,Joshua Philippe,Overseas,Wicket Keeper,2.0,1,Royal Challengers Bangalore,2020,,,,,,,
951,Pavan Deshpande,Indian,All-Rounder,2.0,1,Royal Challengers Bangalore,2020,,,,,,,
952,Mitchell Marsh,Overseas,All-Rounder,20.0,1,Sunrisers Hyderabad,2020,10.0,34.0,37.1,120.8,6.0,11.8,1.0
953,Priyam Garg,Indian,Batsman,19.0,1,Sunrisers Hyderabad,2020,,,,,,,
954,Virat Singh,Indian,Batsman,19.0,1,Sunrisers Hyderabad,2020,,,,,,,
955,Fabian Allen,Overseas,All-Rounder,5.0,1,Sunrisers Hyderabad,2020,11.0,27.2,30.9,177.2,8.0,8.69,2.0
956,Sandeep Bavanaka,Indian,All-Rounder,2.0,1,Sunrisers Hyderabad,2020,,,,,,,
957,Sanjay Yadav,Indian,All-Rounder,2.0,1,Sunrisers Hyderabad,2020,,,,,,,
958,Abdul Samad,Indian,All-Rounder,2.0,1,Sunrisers Hyderabad,2020,,,,,,,
959,Adam Zampa,Overseas,Bowler,15.0,0,NONE,2020,6.0,31.0,43.8,96.9,25.0,7.49,29.0
960,Vinay Kumar,Indian,Bowler,10.0,0,NONE,2020,,,,,,,
961,James Pattinson,Overseas,Bowler,10.0,0,NONE,2020,3.0,2.0,62.5,50.0,4.0,7.08,2.0
962,Liam Plunkett,Overseas,Bowler,10.0,0,NONE,2020,9.0,9.6,38.3,111.7,13.0,8.69,15.0
963,Martin Guptill,Overseas,Batsman,10.0,0,NONE,2020,18.0,34.1,39.3,151.8,2.0,8.0,0.0
964,Evin Lewis,Overseas,Batsman,10.0,0,NONE,2020,21.0,32.6,47.3,135.3,,,
965,Yusuf Pathan,Indian,All-Rounder,10.0,0,NONE,2020,7.0,13.3,40.0,88.9,1.0,8.0,0.0
966,Colin Munro,Overseas,All-Rounder,10.0,0,NONE,2020,34.0,24.4,43.6,136.8,13.0,9.64,9.0
967,Mustafizur Rahman,Overseas,Bowler,10.0,0,NONE,2020,8.0,47.0,51.2,109.3,20.0,6.46,24.0
968,Tim Southee,Overseas,Bowler,10.0,0,NONE,2020,2.0,9.0,53.3,60.0,4.0,11.62,2.0
969,Jason Holder,Overseas,All-Rounder,7.5,0,NONE,2020,10.0,5.6,49.1,90.9,13.0,7.38,14.0
970,Colin De Grandhomme,Overseas,All-Rounder,7.5,0,NONE,2020,12.0,22.6,41.6,131.1,6.0,9.8,0.0
971,Ben Cutting,Overseas,All-Rounder,7.5,0,NONE,2020,21.0,26.1,36.6,148.8,19.0,9.14,19.0
972,Sean Abbott,Overseas,Bowler,7.5,0,NONE,2020,8.0,6.8,46.2,105.1,19.0,8.73,29.0
973,Mushfiqur Rahim,Overseas,Wicket Keeper,7.5,0,NONE,2020,20.0,40.1,30.8,137.2,,,
974,Ish Sodhi,Overseas,Bowler,7.5,0,NONE,2020,8.0,8.3,40.7,92.6,16.0,8.53,25.0
975,Kesrick Williams,Overseas,Bowler,5.0,0,NONE,2020,5.0,6.2,73.2,61.0,14.0,9.14,18.0
976,Colin Ingram,Overseas,Batsman,5.0,0,NONE,2020,49.0,27.8,34.1,140.9,3.0,7.67,1.0
977,Cheteshwar Pujara,Indian,Batsman,5.0,0,NONE,2020,,,,,,,
978,Hanuma Vihari,Indian,Batsman,5.0,0,NONE,2020,2.0,2.0,50.0,50.0,1.0,9.0,0.0
979,Stuart Binny,Overseas,All-Rounder,5.0,0,NONE,2020,5.0,23.3,35.0,175.0,5.0,6.29,1.0
980,Manoj Tiwary,Indian,Batsman,5.0,0,NONE,2020,,,,,,,
981,Carlos Brathwaite,Overseas,All-Rounder,5.0,0,NONE,2020,19.0,10.4,41.0,122.2,18.0,9.89,14.0
982,Adam Milne,Overseas,Bowler,5.0,0,NONE,2020,9.0,15.4,36.2,132.8,12.0,7.42,16.0
983,Rishi Dhawan,Indian,All-Rounder,5.0,0,NONE,2020,,,,,,,
984,Shai Hope,Overseas,Wicket Keeper,5.0,0,NONE,2020,3.0,17.3,34.8,113.0,,,
985,Heinrich Klaasen,Overseas,Wicket Keeper,5.0,0,NONE,2020,18.0,35.2,29.6,153.6,,,
986,Anrich Nortje,Overseas,Bowler,5.0,0,NONE,2020,1.0,4.0,83.3,66.7,7.0,8.66,6.0
987,Naman Ojha,Indian,Wicket Keeper,5.0,0,NONE,2020,,,,,,,
988,Kusal Janith Perera,Overseas,Wicket Keeper,5.0,0,NONE,2020,,,,,,,
989,Andile Phehlukwayo,Overseas,All-Rounder,5.0,0,NONE,2020,4.0,35.0,13.6,159.1,8.0,10.26,8.0
990,Barinder Singh Sran,Indian,Bowler,5.0,0,NONE,2020,,,,,,,
991,Mark Wood,Overseas,Bowler,5.0,0,NONE,2020,,,,,,,
992,Matt Henry,Overseas,Bowler,5.0,0,NONE,2020,3.0,,16.7,100.0,3.0,8.66,4.0
993,Alzarri Joseph,Overseas,Bowler,5.0,0,NONE,2020,7.0,29.5,30.0,147.5,12.0,8.23,15.0
994,Zahir Khan Pakteen,Overseas,Bowler,5.0,0,NONE,2020,4.0,2.5,50.0,100.0,13.0,7.23,12.0
995,Hayden Walsh,Overseas,Bowler,5.0,0,NONE,2020,2.0,5.5,16.7,91.7,13.0,8.19,29.0
996,Riley Meredith,Overseas,Bowler,4.0,0,NONE,2020,1.0,2.0,33.3,66.7,13.0,8.05,18.0
997,Noor Ahmad,Overseas,Bowler,3.0,0,NONE,2020,,,,,,,
998,Pravin Dubey,Indian,All-Rounder,2.0,0,NONE,2020,,,,,,,
999,Shams Mulani,Indian,All-Rounder,2.0,0,NONE,2020,,,,,,,
1000,Sumit Kumar,Indian,All-Rounder,2.0,0,NONE,2020,,,,,,,
1001,Aryan Juyal,Indian,Wicket Keeper,2.0,0,NONE,2020,,,,,,,
1002,Lalit Yadav,Indian,Bowler,2.0,0,NONE,2020,,,,,,,
1003,Kuldeep Sen,Indian,Bowler,2.0,0,NONE,2020,,,,,,,
1004,Harpreet Bhatia,Indian,Batsman,2.0,0,NONE,2020,,,,,,,
1005,Rohan Kadam,Indian,Batsman,2.0,0,NONE,2020,,,,,,,
1006,Manjot Kalra,Indian,Batsman,2.0,0,NONE,2020,,,,,,,
1007,Shahrukh Khan,Indian,All-Rounder,2.0,0,NONE,2020,,,,,,,
1008,George Garton,Overseas,All-Rounder,2.0,0,NONE,2020,,,,,,,
1009,Daniel Sams,Overseas,All-Rounder,2.0,0,NONE,2020,14.0,8.4,44.1,117.2,18.0,8.52,23.0
1010,Rahul Shukla,Indian,Bowler,2.0,0,NONE,2020,,,,,,,
1011,Ankush Bains,Indian,Wicket Keeper,2.0,0,NONE,2020,,,,,,,
1012,Kona Srikar Bharat,Indian,Wicket Keeper,2.0,0,NONE,2020,,,,,,,
1013,Yudhvir Charak,Indian,All-Rounder,2.0,0,NONE,2020,,,,,,,
1014,Kedar Devdhar,Indian,Wicket Keeper,2.0,0,NONE,2020,,,,,,,
1015,Vishnu Vinod,Indian,Wicket Keeper,2.0,0,NONE,2020,,,,,,,
1016,Sujit Nayak,Indian,All-Rounder,2.0,0,NONE,2020,,,,,,,
1017,Nathan Ellis,Overseas,Bowler,2.0,0,NONE,2020,2.0,18.0,18.8,112.5,4.0,6.64,3.0
1018,Vaibhav Arora,Indian,Bowler,2.0,0,NONE,2020,,,,,,,
1019,Saurabh Dubey,Indian,Bowler,2.0,0,NONE,2020,,,,,,,
1020,Kulwant Khejroliya,Indian,Bowler,2.0,0,NONE,2020,,,,,,,
1021,K.C Cariappa,Indian,Bowler,2.0,0,NONE,2020,1.0,,0.0,300.0,1.0,17.0,0.0
1022,Midhun Sudhesan,Indian,All-Rounder,2.0,0,NONE,2020,,,,,,,
1023,Ayush Badoni,Indian,All-Rounder,2.0,0,NONE,2020,,,,,,,
1024,Angelo Mathews,Overseas,All-Rounder,20.0,0,NONE,2020,,,,,,,
1025,Kyle Abbott,Overseas,Bowler,15.0,0,NONE,2020,6.0,14.7,35.5,141.9,24.0,8.28,31.0
1026,Shaun Marsh,Overseas,Batsman,15.0,0,NONE,2020,11.0,33.4,36.7,126.5,,,
1027,David Willey,Overseas,All-Rounder,15.0,0,NONE,2020,10.0,14.3,42.5,119.2,13.0,8.02,10.0
1028,Matthew Wade,Overseas,Wicket Keeper,10.0,0,NONE,2020,11.0,42.6,28.2,148.4,,,
1029,Ashton Agar,Overseas,All-Rounder,10.0,0,NONE,2020,11.0,12.9,39.5,113.2,11.0,8.49,7.0
1030,Moises Henriques,Overseas,All-Rounder,10.0,0,NONE,2020,17.0,27.1,27.5,137.3,6.0,8.62,2.0
1031,D'Arcy Short,Overseas,All-Rounder,10.0,0,NONE,2020,27.0,45.5,36.4,139.6,25.0,8.22,19.0
1032,Alex Hales,Overseas,Batsman,10.0,0,NONE,2020,45.0,31.1,38.9,141.2,,,
1033,Rilee Rossouw,Overseas,Batsman,10.0,0,NONE,2020,43.0,40.5,31.7,144.2,2.0,5.4,1.0
1034,Thisara Perera,Overseas,All-Rounder,10.0,0,NONE,2020,19.0,27.0,35.4,168.8,19.0,9.52,16.0
1035,Ashton Turner,Overseas,All-Rounder,7.5,0,NONE,2020,18.0,24.0,30.0,144.0,,,
1036,Saqib Mahmood,Overseas,Bowler,7.5,0,NONE,2020,1.0,,100.0,0.0,9.0,8.8,8.0
1037,Lendl Simmons,Overseas,Batsman,7.5,0,NONE,2020,25.0,33.2,44.2,145.5,,,
1038,David Wiese,Overseas,All-Rounder,7.5,0,NONE,2020,29.0,33.6,29.7,144.3,30.0,8.89,20.0
1039,Marchant De Lange,Overseas,Bowler,7.5,0,NONE,2020,6.0,7.0,39.3,125.0,11.0,9.15,13.0
1040,Corey Anderson,Overseas,All-Rounder,7.5,0,NONE,2020,13.0,20.3,39.8,124.5,4.0,9.0,4.0
1041,Dan Christian,Overseas,All-Rounder,7.5,0,NONE,2020,,,,,,,
1042,Mohammad Mahmudullah,Overseas,All-Rounder,7.5,0,NONE,2020,15.0,19.7,33.8,127.7,12.0,6.74,10.0
1043,Wiaan Mulder,Overseas,All-Rounder,5.0,0,NONE,2020,4.0,34.5,32.1,123.2,3.0,5.33,1.0
1044,Dasun Shanaka,Overseas,All-Rounder,5.0,0,NONE,2020,10.0,24.1,39.5,169.3,9.0,10.41,5.0
1045,Jon-Jon Trevor Smuts,Overseas,All-Rounder,5.0,0,NONE,2020,,,,,,,
