Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Togo,2018,4.023,7.348,0.596,54.700,0.612,-0.007,0.809,0.608,0.446
Tunisia,2018,4.741,9.284,0.733,66.900,0.650,-0.191,0.840,0.592,0.365
Turkey,2018,5.186,10.251,0.847,66.800,0.529,-0.176,0.805,0.435,0.351
Turkmenistan,2018,4.621,9.605,0.984,62.200,0.858,0.260,,0.612,0.189
Uganda,2018,4.322,7.660,0.740,55.700,0.729,0.079,0.856,0.685,0.390
Ukraine,2018,4.662,9.420,0.901,64.600,0.663,-0.074,0.943,0.609,0.222
United Arab Emirates,2018,6.604,11.112,0.851,67.100,0.944,0.054,,0.787,0.302
United Kingdom,2018,7.233,10.743,0.928,72.300,0.838,0.226,0.404,0.783,0.228
United States,2018,6.883,11.025,0.904,68.300,0.825,0.116,0.710,0.815,0.292
Uruguay,2018,6.372,9.980,0.917,69.000,0.876,-0.097,0.683,0.877,0.275
Uzbekistan,2018,6.205,8.818,0.921,65.100,0.970,0.318,0.520,0.825,0.209
Venezuela,2018,5.006,,0.887,66.500,0.611,,0.828,0.759,0.374
Vietnam,2018,5.296,8.934,0.832,67.900,0.909,-0.041,0.808,0.692,0.191
Yemen,2018,3.058,,0.789,56.700,0.553,,0.793,0.461,0.315
Zambia,2018,4.041,8.167,0.718,55.300,0.791,0.048,0.811,0.703,0.351
Zimbabwe,2018,3.616,8.049,0.775,55.600,0.763,-0.068,0.844,0.710,0.212
